# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	20587
#@/user_id	keai
A 	A	c=2 d=9.35125e-06 t=20587
ai fan an 	爱翻案	c=1 d=4.80404e-23 t=20587
ai fu dun 	埃弗顿	c=1 d=2e-08 t=20587
ai guo 	爱国	c=0 d=0 t=20587
ai guo de 	爱国的	c=1 d=2e-08 t=20587
ai kuai 	爱快	c=4 d=5e-08 t=20587
ai kuai yun 	爱快云	c=1 d=2e-08 t=20587
ai le 	爱了	c=1 d=1 t=20361
ai lun 	艾伦	c=1 d=3.18495e-11 t=20587
ai shuo 	爱说	c=0 d=0.1 t=20289
ai xin 	爱心	c=1 d=2e-08 t=20587
ai you 	哎哟	c=0 d=0 t=20587
ai you ni gan ma 	哎哟你干嘛	c=1 d=2e-08 t=20587
ai zhe 	挨着	c=1 d=2e-08 t=20587
ai zhe tang 	爱蔗糖	c=1 d=2e-08 t=20587
ai zhe teng 	爱折腾	c=2 d=3e-08 t=20587
an 	俺	c=1 d=2e-08 t=13695
an 	安	c=2 d=3e-08 t=13695
an 	按	c=14 d=1.00015 t=14075
an 	案	c=1 d=2e-08 t=13695
an 	氨	c=4 d=0.683301 t=20587
an ba 	俺爸	c=1 d=1 t=18156
an ceng 	按层	c=1 d=1 t=17046
an de 	按的	c=0 d=0.000214573 t=20587
an de shi jie 	按的世界	c=1 d=0.00106477 t=20587
an fu 	安抚	c=0 d=0 t=20587
an fu da shang 	安抚打上	c=1 d=2e-08 t=20587
an hao 	暗号	c=1 d=2e-08 t=20587
an jia 	俺家	c=3 d=4e-08 t=13695
an jia 	安家	c=1 d=2e-08 t=20587
an jian 	按键	c=3 d=3e-08 t=13695
an jian 	案件	c=0 d=0 t=20587
an jian ang si duan juan fa 	案件盎司短卷发	c=1 d=2e-08 t=20587
an jian ju 	按间距	c=1 d=2e-08 t=20587
an li 	案例	c=8 d=9e-08 t=20587
an ma 	俺妈	c=1 d=1 t=18166
an niu 	按钮	c=2 d=1.93075e-16 t=20587
an pai 	安排	c=1 d=0.00168667 t=20587
an pai wan 	安排玩	c=1 d=2e-08 t=20587
an qi 	氨气	c=4 d=5e-08 t=20587
an qi guo lv qi 	氨气过滤器	c=1 d=2.96963e-11 t=20587
an qi nong du 	氨气浓度	c=1 d=2e-08 t=20587
an quan 	安全	c=11 d=0.144498 t=20587
an quan bao hu 	安全保护	c=1 d=0.0977834 t=20587
an quan fa 	安全阀	c=1 d=0.0953692 t=20587
an quan ji liang 	安全剂量	c=1 d=2e-08 t=20587
an quan she bei 	安全设备	c=2 d=0.0536647 t=20587
an shi fan 	按时返	c=0 d=0 t=20587
an shi fan da fu 	按时返大幅	c=1 d=2e-08 t=20587
an shi feng deng 	暗室逢灯	c=2 d=3e-08 t=20587
an shi you 	俺室友	c=1 d=2e-08 t=20587
an shui 	氨水	c=1 d=0.615697 t=20587
an wo shuo de 	按我说的	c=1 d=2e-08 t=20587
an xi tong 	按系统	c=1 d=0.00104891 t=13695
an xi tong 	氨系统	c=2 d=2.82488e-11 t=20587
an zhao 	按照	c=15 d=0.623939 t=20587
an zhe 	按着	c=2 d=3e-08 t=20587
an zhe ge 	按这个	c=1 d=1 t=18784
an zhi 	安置	c=1 d=2e-08 t=20587
an zhuan 	暗转	c=1 d=2e-08 t=20587
an zhuang 	安装	c=29 d=0.000414358 t=20587
an zhuang gao du 	安装高度	c=1 d=2e-08 t=20587
an zhuang guo 	安装过	c=1 d=2e-08 t=20587
an zhuang xuan yong 	安装选用	c=1 d=7.71839e-13 t=20587
an zhuo 	安卓	c=9 d=3.25029e-07 t=20587
an zhuo duan 	安卓端	c=1 d=2e-08 t=20587
ang 	昂	c=8 d=8e-08 t=20587
ang ge 	昂哥	c=1 d=5.76539e-22 t=20587
ang si 	盎司	c=0 d=0 t=20587
ang zi 	昂子	c=2 d=2.62792e-14 t=20587
ao 	傲	c=1 d=2e-08 t=20587
ao men 	澳门	c=5 d=6e-08 t=20587
ao te 	奥特	c=1 d=2e-08 t=20587
ba 	吧	c=149 d=0.140378 t=19461
ba 	把	c=109 d=0.0515661 t=20587
ba ba 	爸爸	c=1 d=1 t=17988
ba di yi ge 	把第一个	c=1 d=1 t=17553
ba dian 	八点	c=1 d=2e-08 t=20587
ba dian nao 	把电脑	c=1 d=2e-08 t=20587
ba dui lie 	把队列	c=1 d=2e-08 t=20587
ba duo 	八朵	c=1 d=2e-08 t=20587
ba fang huo qiang 	把防火墙	c=1 d=2e-08 t=20587
ba gong 	罢工	c=1 d=2e-08 t=20587
ba gong zhi 	把工质	c=1 d=1 t=14782
ba liang bian 	吧两边	c=1 d=2e-08 t=20587
ba ma 	把码	c=1 d=2e-08 t=20587
ba nei rong 	把内容	c=1 d=2e-08 t=20587
ba ni de 	把你的	c=1 d=2e-08 t=20587
ba qi ta 	把其他	c=1 d=0.501576 t=20587
ba qi ta lei xing 	把其他类型	c=2 d=3e-08 t=20587
ba quan 	霸权	c=2 d=3e-08 t=20587
ba shu ru 	把输入	c=1 d=4.2608e-23 t=20587
ba ta 	把他	c=0 d=5.95331e-18 t=20587
ba ta men 	把他们	c=2 d=2.32315e-05 t=20587
ba tian 	八天	c=1 d=2e-08 t=20587
ba wang 	霸王	c=2 d=6.17503e-06 t=20587
ba wang cha ji 	霸王茶姬	c=1 d=2e-08 t=20587
ba wo 	把我	c=2 d=1 t=14349
ba wo 	把握	c=0 d=0 t=20587
ba xian you 	把现有	c=1 d=1.34404e-08 t=20587
ba xiao shi 	八小时	c=1 d=2e-08 t=20587
ba zhe ge 	把这个	c=5 d=1.19474e-05 t=20587
ba zhe xie 	把这些	c=3 d=2e-08 t=20587
ba zhe yi hang 	把这一行	c=1 d=0.0014018 t=20587
ba zhi 	把值	c=1 d=0.323033 t=20587
ba zhu 	霸主	c=1 d=2e-08 t=20587
bai 	掰	c=1 d=2e-08 t=13695
bai 	摆	c=1 d=2e-08 t=13695
bai 	白	c=11 d=6.85865e-06 t=20587
bai bai 	拜拜	c=1 d=1 t=18398
bai bai 	白白	c=1 d=2e-08 t=20587
bai bu 	白布	c=1 d=7.03587e-12 t=20587
bai cai 	白菜	c=1 d=2e-08 t=20587
bai chi 	白痴	c=0 d=0.1 t=16435
bai chi le 	白痴了	c=1 d=1 t=16436
bai du 	百度	c=47 d=0.0203434 t=20587
bai du wen ku 	百度文库	c=4 d=5e-08 t=20587
bai fen bi 	百分比	c=1 d=2e-08 t=20587
bai fen hao 	百分号	c=1 d=1.04852e-28 t=20587
bai fen lv 	百分率	c=1 d=2e-08 t=20587
bai fen zhi 	百分之	c=2 d=3e-08 t=20587
bai li 	白里	c=1 d=2e-08 t=20587
bai lu yuan 	白鹿原	c=5 d=6e-08 t=20587
bai lu yuan de 	白鹿原的	c=1 d=2e-08 t=20587
bai ma 	白马	c=2 d=1.9802 t=15517
bai ming dan 	白名单	c=3 d=3.17012e-07 t=20587
bai nian 	百年	c=1 d=2e-08 t=20587
bai piao 	白嫖	c=1 d=2e-08 t=20587
bai ping 	白屏	c=1 d=2e-08 t=20587
bai se 	白色	c=1 d=2e-08 t=20587
bai shou 	百兽	c=1 d=2e-08 t=20587
bai si 	白丝	c=2 d=3e-08 t=20587
bai tian 	白天	c=2 d=3e-08 t=20587
bai tuo 	拜托	c=4 d=1.59283e-06 t=13695
bai tuo 	摆脱	c=1 d=1.60081e-06 t=20587
bai tuo le 	拜托了	c=1 d=1 t=14568
bai yue guang 	白月光	c=1 d=2e-08 t=20587
ban 	办	c=6 d=7e-08 t=13695
ban 	半	c=11 d=0.1 t=20125
ban 	搬	c=1 d=1 t=14629
ban 	板	c=1 d=2e-08 t=13695
ban 	版	c=14 d=1 t=15238
ban 	班	c=1 d=2e-08 t=20587
ban ben 	版本	c=17 d=0.0264483 t=20587
ban chang 	板长	c=1 d=2e-08 t=20587
ban dao ti 	半导体	c=1 d=0.00265848 t=20587
ban de 	办的	c=0 d=0 t=13695
ban de 	扮的	c=1 d=1.51592e-12 t=20587
ban di 	班迪	c=9 d=8e-08 t=20587
ban dian 	半点	c=1 d=2e-08 t=20587
ban fa 	办法	c=2 d=3e-08 t=20587
ban ge 	半个	c=2 d=3e-08 t=20587
ban ge yue 	半个月	c=1 d=2e-08 t=20587
ban gong 	办公	c=1 d=2e-08 t=20587
ban gong shi 	办公室	c=8 d=0.000131698 t=20587
ban ji 	班级	c=1 d=2e-08 t=20587
ban jiao 	半角	c=6 d=7e-08 t=20587
ban jie suo 	半解锁	c=1 d=1 t=20126
ban jing 	半径	c=3 d=4e-08 t=20587
ban ka 	办卡	c=2 d=3e-08 t=20587
ban lan gen 	板蓝根	c=1 d=2e-08 t=20587
ban le 	搬了	c=1 d=2e-08 t=20587
ban lv 	伴侣	c=1 d=2e-08 t=20587
ban qi 	半期	c=1 d=2e-08 t=20587
ban tian 	半天	c=7 d=5e-08 t=20587
ban wa gong 	搬瓦工	c=3 d=5.34681e-10 t=20587
ban xiao shi 	半小时	c=2 d=3e-08 t=20587
ban yan 	扮演	c=1 d=6.64668e-19 t=20587
ban ye 	半夜	c=0 d=0 t=20587
ban zhuan 	搬砖	c=1 d=1 t=16071
ban zhuan 	板砖	c=1 d=2e-08 t=20587
ban zi 	板子	c=2 d=3e-08 t=20587
bang 	帮	c=0 d=0.1 t=18010
bang 	棒	c=1 d=2e-08 t=20587
bang bang mang 	帮帮忙	c=1 d=2e-08 t=20587
bang bang wo 	帮帮我	c=1 d=3.5898e-07 t=20587
bang dan 	榜单	c=1 d=2e-08 t=20587
bang ding 	绑定	c=5 d=5.3078e-06 t=20587
bang ding le 	绑定了	c=1 d=2e-08 t=20587
bang kan xia 	帮看下	c=1 d=1 t=18011
bang mang 	帮忙	c=4 d=4e-08 t=20587
bang ni 	帮你	c=4 d=0.000497955 t=20587
bang wo 	帮我	c=18 d=0.110278 t=20587
bang wo kan xia 	帮我看下	c=1 d=2e-08 t=20587
bang wo xie 	帮我写	c=2 d=0.000161877 t=20587
bang wo xie yi ge 	帮我写一个	c=1 d=0.000164106 t=20587
bang wo xue 	帮我学	c=1 d=2e-08 t=20587
bao 	保	c=2 d=1 t=19989
bao 	包	c=40 d=1.0358 t=19923
bao 	报	c=6 d=7e-08 t=13695
bao 	饱	c=0 d=0 t=20587
bao bao 	宝宝	c=0 d=0 t=20587
bao chi 	保持	c=5 d=0.98741 t=20587
bao chi zhu 	包吃住	c=2 d=3e-08 t=20587
bao cun 	保存	c=28 d=0.00171293 t=20587
bao cuo 	报错	c=9 d=0.0232837 t=20587
bao cuo le 	报错了	c=1 d=1 t=17769
bao di 	宝地	c=1 d=2e-08 t=20587
bao fo jiao 	抱佛脚	c=2 d=3e-08 t=20587
bao gao 	报告	c=24 d=0.00358858 t=20587
bao gao me 	报告么	c=1 d=2e-08 t=20587
bao gao yi 	报告一	c=0 d=0 t=20587
bao gao yi ban 	报告一半	c=1 d=2e-08 t=20587
bao gong tou 	包工头	c=1 d=2e-08 t=20587
bao gu 	苞谷	c=1 d=2e-08 t=20587
bao guo 	抱过	c=1 d=2e-08 t=20587
bao han 	包含	c=10 d=0.00708341 t=20587
bao han le 	包含了	c=1 d=1.37143e-10 t=20587
bao he 	饱和	c=5 d=0.000337959 t=20587
bao he du 	饱和度	c=1 d=2e-08 t=20587
bao he ting 	饱和烃	c=1 d=2.68749e-13 t=20587
bao he tu 	饱和土	c=1 d=2e-08 t=20587
bao he xun huan 	饱和循环	c=1 d=0.00339653 t=20587
bao he ya li 	饱和压力	c=1 d=0.0497871 t=20587
bao hu 	保护	c=0 d=0 t=20587
bao hui 	抱回	c=0 d=0 t=20587
bao hui qu 	抱回去	c=1 d=2e-08 t=20587
bao jiang 	包浆	c=1 d=2e-08 t=20587
bao kuo 	包括	c=10 d=0.449329 t=20587
bao kuo zuo zi 	包括坐姿	c=1 d=1 t=20279
bao le 	报了	c=1 d=2e-08 t=20587
bao lei 	堡垒	c=1 d=2e-08 t=20587
bao liu 	保留	c=14 d=0.000353964 t=20587
bao liu zi 	保留字	c=1 d=2e-08 t=20587
bao long 	包龙	c=1 d=1 t=19075
bao lu 	暴露	c=1 d=2e-08 t=20587
bao ming 	包名	c=1 d=2e-08 t=13695
bao ming 	报名	c=5 d=6e-08 t=20587
bao qian 	抱歉	c=2 d=2.44045e-18 t=20587
bao shang 	报上	c=1 d=2e-08 t=20587
bao shu 	爆叔	c=2 d=3e-08 t=20587
bao ta 	宝塔	c=1 d=2e-08 t=20587
bao wei 	保卫	c=1 d=1 t=20437
bao wei 	包围	c=2 d=3e-08 t=20587
bao wen 	保温	c=2 d=3e-08 t=20587
bao wen cai liao 	保温材料	c=1 d=2e-08 t=20587
bao wo 	报我	c=1 d=2e-08 t=20587
bao xin 	包辛	c=1 d=2e-08 t=20587
bao yan 	保研	c=2 d=3e-08 t=20587
bao yu 	鲍鱼	c=2 d=3e-08 t=20587
bao zang 	宝藏	c=0 d=0.1 t=17391
bao zang le 	宝藏了	c=1 d=1 t=17392
bao zha 	爆炸	c=1 d=2e-08 t=20587
bao zhang 	保障	c=1 d=0.00702988 t=20587
bao zhang guan lu zhong 	保障管路中	c=1 d=0.0706512 t=20587
bao zhen 	保真	c=1 d=2e-08 t=20587
bao zheng 	保证	c=15 d=0.0964533 t=20587
bao zheng ya suo ji 	保证压缩机	c=1 d=0.0665368 t=20587
bao zhuang 	包装	c=0 d=7.74364e-23 t=20587
bao zhuang dui xiang 	包装对象	c=1 d=7.78246e-22 t=20587
bei 	倍	c=2 d=8.11412e-13 t=13695
bei 	北	c=35 d=7.76325 t=18851
bei 	背	c=3 d=4e-08 t=13695
bei 	被	c=237 d=0.0122166 t=20587
bei an 	被按	c=1 d=7.65746e-08 t=20587
bei ce 	北侧	c=2 d=1.72615 t=18427
bei da 	被打	c=1 d=1.07379e-14 t=20587
bei dan ci 	背单词	c=7 d=6.16012e-07 t=20587
bei dong 	被动	c=5 d=6e-08 t=20587
bei fang 	北方	c=1 d=2e-08 t=20587
bei fen 	备份	c=8 d=1.91652e-06 t=20587
bei feng 	北风	c=1 d=2e-08 t=20587
bei feng le 	被封了	c=1 d=7.74891e-30 t=20587
bei guan li 	被管理	c=1 d=1.84168e-08 t=20587
bei hang 	北航	c=1 d=2e-08 t=20587
bei huan 	悲欢	c=1 d=2e-08 t=20587
bei jing 	北京	c=4 d=0.000804733 t=13695
bei jing 	北境	c=1 d=2e-08 t=13695
bei jing 	背景	c=5 d=6e-08 t=20587
bei jing shi jian 	北京时间	c=1 d=0.00107547 t=20587
bei ju 	悲剧	c=0 d=0 t=20587
bei ju bao le 	悲剧报了	c=1 d=2e-08 t=20587
bei lai 	背来	c=1 d=2e-08 t=20587
bei le 	背了	c=3 d=3e-08 t=20587
bei lv 	倍率	c=4 d=2.41323e-06 t=20587
bei men 	北门	c=1 d=8.36551e-19 t=20587
bei pian le 	被骗了	c=1 d=2e-08 t=20587
bei po 	被迫	c=1 d=2e-08 t=20587
bei qiang 	北墙	c=1 d=2.81798e-12 t=13695
bei qiang 	被强	c=1 d=2e-08 t=20587
bei shu 	倍数	c=1 d=2e-08 t=20587
bei tiao 	被条	c=1 d=2e-08 t=20587
bei wai qiang 	北外墙	c=1 d=1 t=18607
bei wan 	背完	c=1 d=2e-08 t=20587
bei xiu gai 	被修改	c=3 d=1.81004e-06 t=20587
bei yi hui 	背一会	c=1 d=2e-08 t=20587
bei yin chu 	背阴处	c=1 d=2e-08 t=20587
bei yin yong de 	被引用的	c=1 d=2e-08 t=20587
bei yong 	备用	c=1 d=1.20255e-13 t=20587
bei yong neng li qiang 	备用能力强	c=1 d=1.1806e-12 t=20587
bei zhi 	被指	c=1 d=2.39122e-25 t=20587
bei zhi xiang 	被指向	c=1 d=2.11621e-25 t=20587
bei zhi xing 	被执行	c=1 d=1 t=15648
bei zhu 	备注	c=4 d=0.199888 t=20587
bei zi 	杯子	c=3 d=4e-08 t=13695
bei zi 	被子	c=2 d=3e-08 t=20587
ben 	本	c=3 d=3e-08 t=20587
ben ban fa 	笨办法	c=1 d=2e-08 t=20587
ben ben 	本本	c=1 d=2e-08 t=20587
ben ci 	本次	c=1 d=2e-08 t=20587
ben di 	本地	c=18 d=1.46184e-07 t=20587
ben di lu you 	本地路由	c=1 d=2e-08 t=20587
ben di wen jian 	本地文件	c=1 d=2e-08 t=20587
ben ji 	本机	c=2 d=1.00012 t=19492
ben jin 	本金	c=0 d=0 t=20587
ben jin zhi bi 	本金之比	c=1 d=2e-08 t=20587
ben lai 	本来	c=8 d=6e-08 t=20587
ben lai yao 	本来要	c=1 d=2e-08 t=20587
ben lai zhi xiang 	本来只想	c=1 d=2e-08 t=20587
ben shen 	本身	c=6 d=5e-08 t=20587
ben ti 	本体	c=2 d=2e-08 t=20587
ben tu hua 	本土化	c=1 d=2e-08 t=20587
ben yao 	本要	c=1 d=3.19428e-16 t=20587
ben yi 	本意	c=1 d=1.31922e-24 t=20587
ben yue 	本月	c=1 d=2e-08 t=20587
ben zhi 	本质	c=4 d=2e-08 t=20587
beng 	泵	c=12 d=0.806541 t=20587
beng beng 	嘣嘣	c=1 d=3.04584e-15 t=20587
beng bu zhu 	绷不住	c=2 d=2e-08 t=20587
beng bu zhu le 	绷不住了	c=1 d=2e-08 t=20587
beng kui 	崩溃	c=1 d=1.16825e-06 t=20587
beng le 	崩了	c=1 d=2e-08 t=20587
bi 	壁	c=1 d=0.1 t=14156
bi 	彼	c=1 d=2e-08 t=13695
bi 	比	c=14 d=1.00012 t=18073
bi 	笔	c=1 d=2e-08 t=13695
bi 	臂	c=1 d=2e-08 t=20587
bi 	陛	c=1 d=1 t=14159
bi a 	比啊	c=0 d=0 t=20587
bi a ni xing 	比啊逆行	c=1 d=2e-08 t=20587
bi bu ke shao 	必不可少	c=1 d=2e-08 t=20587
bi gan 	笔杆	c=1 d=1 t=16722
bi gan wang 	比赶往	c=1 d=1 t=16721
bi he 	闭合	c=4 d=4e-08 t=20587
bi ji 	笔记	c=17 d=0.000138196 t=13695
bi ji 	笔迹	c=1 d=2e-08 t=20587
bi ji ben 	笔记本	c=5 d=6e-08 t=20587
bi jiao 	比较	c=6 d=5e-08 t=20587
bi jin 	逼近	c=1 d=2e-08 t=20587
bi jing 	毕竟	c=1 d=1 t=20198
bi kao 	必考	c=1 d=2e-08 t=20587
bi kou 	闭口	c=2 d=3e-08 t=20587
bi li 	比例	c=2 d=2e-08 t=20587
bi li bi li 	哔哩哔哩	c=7 d=8e-08 t=20587
bi li ji xian 	比例极限	c=1 d=2e-08 t=20587
bi lv 	比率	c=1 d=2e-08 t=20587
bi mian 	壁面	c=1 d=2e-08 t=13695
bi mian 	避免	c=9 d=0.0372622 t=20587
bi mian ye ti 	避免液体	c=1 d=0.0288686 t=20587
bi mo zu 	比摩阻	c=2 d=1.8311 t=19838
bi ni 	比你	c=1 d=2e-08 t=20587
bi qi 	比起	c=1 d=1 t=14573
bi re 	比热	c=0 d=0 t=20587
bi re liang da 	比热量大	c=1 d=0.00554422 t=20587
bi re rong 	比热容	c=1 d=2e-08 t=13695
bi re rong 	比热荣	c=1 d=2e-08 t=20587
bi ru 	比如	c=4 d=0.131158 t=20587
bi shi 	必是	c=1 d=2e-08 t=13695
bi shi 	闭式	c=5 d=2e-08 t=20587
bi shi guan wang 	闭式管网	c=1 d=2e-08 t=20587
bi shui 	避税	c=1 d=2e-08 t=20587
bi wo 	比我	c=1 d=2e-08 t=20587
bi xu 	必须	c=10 d=7e-08 t=20587
bi xu bao han 	必须包含	c=1 d=7.74232e-20 t=20587
bi xu de 	必须的	c=1 d=2e-08 t=20587
bi xu qu 	必须去	c=1 d=6.95261e-19 t=20587
bi xu she zhi 	必须设置	c=1 d=1 t=14112
bi yao 	必要	c=1 d=2e-08 t=20587
bi ye 	毕业	c=5 d=0.00112026 t=20587
bi ye 	闭业	c=1 d=1 t=15807
bi zhan 	哔站	c=2 d=3e-08 t=20587
bi zhi 	壁纸	c=5 d=6e-08 t=13695
bi zhi 	比值	c=3 d=4e-08 t=20587
bi zhong 	比重	c=2 d=0.00562801 t=20587
bi zi 	鼻子	c=1 d=2e-08 t=20587
bian 	便	c=3 d=4e-08 t=13695
bian 	变	c=14 d=2.38441 t=15898
bian 	编	c=4 d=1.04512 t=19845
bian 	边	c=6 d=1 t=17581
bian 	遍	c=1 d=3.50965e-06 t=20587
bian bie 	辨别	c=2 d=3e-08 t=20587
bian cheng 	变成	c=2 d=3e-08 t=13695
bian cheng 	编程	c=7 d=0.00382958 t=20587
bian cui 	变脆	c=1 d=2e-08 t=20587
bian de 	变得	c=0 d=0 t=20587
bian de 	编的	c=1 d=1 t=19864
bian di 	遍地	c=0 d=0 t=20587
bian di yu liang 	遍地余粮	c=1 d=2e-08 t=20587
bian ge 	编个	c=0 d=0.1 t=19845
bian geng 	变更	c=3 d=6.55483e-06 t=20587
bian gu 	变故	c=1 d=2e-08 t=20587
bian hao 	编号	c=9 d=0.157237 t=20587
bian hua 	变化	c=16 d=0.10539 t=20587
bian hua shi ying 	变化适应	c=1 d=1.3113e-12 t=20587
bian huan 	变换	c=3 d=4e-08 t=20587
bian ji 	变基	c=2 d=5.84048e-06 t=13695
bian ji 	编辑	c=20 d=0.0432828 t=20587
bian ji qi 	编辑器	c=2 d=9.19294e-11 t=20587
bian jie 	边界	c=8 d=9e-08 t=20587
bian jie tiao jian 	边界条件	c=1 d=2e-08 t=20587
bian li 	便利	c=2 d=3e-08 t=13695
bian li 	遍历	c=3 d=4e-08 t=20587
bian liang 	变量	c=51 d=0.00194831 t=20587
bian liang le 	变量了	c=1 d=2.91231e-17 t=20587
bian liang ming 	变量名	c=7 d=5e-08 t=20587
bian ling 	变令	c=2 d=0.0012684 t=20587
bian liu liang xun huan beng 	变流量循环泵	c=1 d=1 t=13952
bian ma 	编码	c=27 d=1.8e-07 t=20587
bian mian 	便面	c=1 d=2e-08 t=20587
bian nuan 	变暖	c=1 d=1 t=14500
bian pai 	编排	c=1 d=2e-08 t=20587
bian pai xia 	便拍下	c=1 d=2e-08 t=20587
bian pin 	变频	c=1 d=0.0884781 t=20587
bian ping 	扁平	c=0 d=0 t=20587
bian ping xu lie 	扁平序列	c=1 d=2e-08 t=20587
bian ping zu 	扁平足	c=1 d=2e-08 t=20587
bian qian 	便签	c=1 d=1.31287e-26 t=20587
bian se 	变色	c=1 d=2e-08 t=20587
bian shao 	鞭鞘	c=3 d=4e-08 t=20587
bian shao xiao ying 	鞭鞘效应	c=1 d=2e-08 t=20587
bian shen 	变身	c=1 d=2e-08 t=20587
bian wei 	变为	c=3 d=2e-08 t=20587
bian xiao 	变小	c=1 d=1.04546e-23 t=20587
bian xie 	编写	c=2 d=3e-08 t=20587
bian xing 	变形	c=5 d=6e-08 t=20587
